Uber Type,City/Area Name,Market Name,State,Date Entered-Soft,Date Entered-Official,Date Left,Date Entered 2nd,Date Left 2nd,Source 1,Source 2,Source 3,Source 4,Notes
UberX,New Haven,Connecticut,CT,,24-Apr-14,,,,https://newsroom.uber.com/us-connecticut/uber-connecticut-launches-with-free-rides-for-3-weeks/,,,,
UberBlack,Washington,Washington,DC,,15-Dec-11,,,,https://newsroom.uber.com/us-dc/uber-and-dc-opposites-attract/,,,,
UberX,Washington,Washington,DC,,8-Aug-13,,,,https://newsroom.uber.com/us-dc/dc-uberx-is-arriving-now/,,,,
UberX ,Dover,Delaware,DE,,31-Jul-15,,,,https://newsroom.uber.com/us-delaware/doverlaunch/,,,,
UberX,Wilmington,Delaware,DE,,11-Jun-15,,,,https://newsroom.uber.com/us-delaware/uber-delaware-2015-launch/,https://twitter.com/Uber_Delaware/status/609099898584244225,,,
UberX,Daytona Beach,Central Atlantic Coast,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Deltona,Central Atlantic Coast,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Palm Bay,Central Atlantic Coast,FL,,4-Dec-14,,,,http://uberpeople.net/threads/uber-palm-bay-launches-tomorrow-dec-4-went-to-the-onboarding-in-titusville.8275/,,,,
UberX,Port St. Lucie,Central Atlantic Coast,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Florida Keys,Florida Keys,FL,,4-Dec-14,,,,http://www.miaminewtimes.com/news/uber-launches-in-keys-southwest-florida-now-servicing-82-percent-of-floridians-6559951,,,,
UberX,Cape Coral,Fort Myers-Naples,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Fort Myers,Fort Myers-Naples,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Naples,Fort Myers-Naples,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Gainesville,Gainesville,FL,,28-Aug-14,,,,http://www.wcjb.com/local-news/2014/08/uber-officially-gainesville,,,,
UberBlack,Jacksonville,Jacksonville,FL,,1-Nov-13,,,,https://newsroom.uber.com/us-florida/safety-over-politics-free-rides-in-jacksonville-with-uber-6/,https://twitter.com/jasonaltmire/status/400708172954226689,http://us1.campaign-archive2.com/?u=8d2fd6968b2b5c64d0d22dba2&id=6e5dbabf09&e=4484f098d0,,
UberBlack,Jacksonville,Jacksonville,FL,1-Nov-13,,,,,https://newsroom.uber.com/us-florida/safety-over-politics-free-rides-in-jacksonville-with-uber-6/,https://twitter.com/jasonaltmire/status/400708172954226689,http://us1.campaign-archive2.com/?u=8d2fd6968b2b5c64d0d22dba2&id=6e5dbabf09&e=4484f098d0,,
UberX,Jacksonville,Jacksonville,FL,,5-May-14,,,,https://newsroom.uber.com/us-florida/jacksonville-your-two-weeks-of-free-uberx-is-arriving-now/,,,,
UberX,Miami,Miami,FL,,4-Jun-14,,,,https://newsroom.uber.com/us-florida/hola-miami/,,,,
UberX,Ocala,Ocala,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Lakeland,Orlando,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberBlack,Orlando,Orlando,FL,,18-Nov-15,,,,https://newsroom.uber.com/us-florida/uberblack-now-available-at-mco/,,,,
UberSelect,Orlando,Orlando,FL,,29-Apr-15,,,,https://newsroom.uber.com/us-florida/introducing-uberselect-orlando/,,,,
UberX,Orlando,Orlando,FL,,4-Jun-14,,,,https://newsroom.uber.com/us-florida/orlando-your-uber-is-arriving-now/,,,,Only for airport pickups
UberX,Panama City,Panama City,FL,,10-Mar-17,,,,https://newsroom.uber.com/us-florida/uber-panama-city-return/,,,,
UberX,Pensacola,Pensacola,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Bradenton,Sarasota,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,North Port,Sarasota,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,See first link for a long list of cities
UberX,Sarasota,Sarasota,FL,,4-Dec-14,,,,https://newsroom.uber.com/us-florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,,,
UberX,Tallahassee,Tallahassee,FL,,28-Aug-14,,,,http://www.wctv.tv/home/headlines/Transportation-Service-Uber-Comes-to-Tallahassee-273057221.html,,,,
UberX,Tampa,Tampa,FL,,11-Apr-14,,,,https://twitter.com/uber_tampa,,,,
UberX,Athens,Athens,GA,,28-Aug-14,,,,https://newsroom.uber.com/uber-is-in-session/,,,,
UberBlack,Atlanta,Atlanta,GA,,24-Aug-12,,,,https://newsroom.uber.com/us-georgia/uber-atlanta-launches-spottieottiedopaliscious/,,,,
UberX,Atlanta,Atlanta,GA,,26-Jun-13,,,,https://newsroom.uber.com/us-georgia/introducing-uberx-better-than-a-taxi-for-the-same-price/,,,,
